icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,snapshot_time,speed_ms,speed_kmh,speed_anomaly,altitude_diff,altitude_anomaly,is_climbing,is_descending,vertical_rate_abs,vertical_anomaly,lat_bin,lon_bin
896304,UAE370,United Arab Emirates,2026-04-29 13:24:00+00:00,1777469040,101.0789,13.6981,3543.3,False,190.97,66.34,7.15,,3718.56,,False,0,2026-04-29 13:24:01+00:00,190.97,687.492,0,-175.25999999999976,0,1,0,7.15,0,8,28
896303,UAE584,United Arab Emirates,2026-04-29 13:13:48+00:00,1777468868,56.4988,25.3055,6583.68,False,247.6,92.02,10.73,,6934.2,6233.0,False,0,2026-04-29 13:24:01+00:00,247.6,891.36,0,-350.5199999999995,0,1,0,10.73,0,10,23
88434b,BKP176,Thailand,2026-04-29 13:24:00+00:00,1777469041,100.8179,13.9072,1303.02,False,102.69,193.62,-4.55,,1333.5,,False,0,2026-04-29 13:24:01+00:00,102.69,369.684,0,-30.480000000000018,0,0,1,4.55,0,8,28
abf2ea,SWA1943,United States,2026-04-29 13:24:01+00:00,1777469041,-80.4926,37.2834,10972.8,False,199.9,236.76,0.0,,11239.5,501.0,False,0,2026-04-29 13:24:01+00:00,199.9,719.64,0,-266.7000000000007,0,0,0,0.0,0,12,9
841e00,ADO44,Japan,2026-04-29 13:24:01+00:00,1777469041,140.3632,36.7696,5867.4,False,186.55,191.77,-13.66,,5989.32,,False,0,2026-04-29 13:24:01+00:00,186.55,671.58,0,-121.92000000000007,0,0,1,13.66,0,12,32
896311,UAE334,United Arab Emirates,2026-04-29 13:24:00+00:00,1777469040,119.7777,13.8914,8671.56,False,211.34,96.71,-6.83,,9304.02,,False,0,2026-04-29 13:24:01+00:00,211.34,760.8240000000001,0,-632.460000000001,0,0,1,6.83,0,8,30
44ce62,BEL9SE,Belgium,2026-04-29 13:24:00+00:00,1777469040,5.8006,50.0625,9456.42,False,197.37,150.83,0.0,,9608.82,1000.0,False,0,2026-04-29 13:24:01+00:00,197.37,710.532,0,-152.39999999999964,0,0,0,0.0,0,14,18
44ce61,BEL5NZ,Belgium,2026-04-29 13:24:01+00:00,1777469041,9.1342,48.4189,11269.98,False,229.23,144.78,0.33,,11369.04,1000.0,False,0,2026-04-29 13:24:01+00:00,229.23,825.228,0,-99.06000000000131,0,1,0,0.33,0,14,18
346649,VOE71SZ,Spain,2026-04-29 13:24:00+00:00,1777469040,23.7163,38.0836,11285.22,False,242.36,138.53,0.33,,11513.82,474.0,False,0,2026-04-29 13:24:01+00:00,242.36,872.4960000000001,0,-228.60000000000036,0,1,0,0.33,0,12,20
a62b39,PWA497,United States,2026-04-29 13:24:00+00:00,1777469040,-118.3304,34.5714,2453.64,False,143.49,256.31,-3.58,,2484.12,,False,0,2026-04-29 13:24:01+00:00,143.49,516.5640000000001,0,-30.480000000000018,0,0,1,3.58,0,12,5
